gene_id	041017C1d150S1	041017E1d150S2	041917E1d14S1	041917F1d14S2
1700006E09Rik	0	0	0	0
1700006F04Rik	0	0	0	0
1700006H21Rik	0	0	13	0
1700007B14Rik	7	0	0	0
1700007F19Rik	0	0	0	0
1700007G11Rik	16	0	9	0
1700007J10Rik	0	0	0	0
1700007K09Rik	0	0	0	0
1700007K13Rik	0	0	0	0
1700007L15Rik	124	124	124	122
1700007P06Rik	0	0	4	1
1700008F21Rik	46	11	37	48
1700008I05Rik	0	0	0	0
1700008J07Rik	0	0	0	0
1700008K24Rik	0	0	0	0
1700008O03Rik	0	0	0	0
1700008P02Rik	0	0	0	0
1700009C05Rik	16	109	45	63
1700009J07Rik	0	0	0	0
1700009N14Rik	0	0	0	0
1700009P17Rik	0	0	0	0
1700010B08Rik	0	0	0	0
1700010D01Rik	0	0	0	0
1700010I02Rik	0	0	0	0
1700010I14Rik	0	0	0	0
1700010J16Rik	0	0	0	0
1700010K23Rik	0	0	0	0
1700011A15Rik	0	0	0	0
1700011B04Rik	0	0	0	0
1700011E24Rik	0	29	6	2
1700011H14Rik	0	0	0	0
1700011I03Rik	0	0	0	0
1700011L22Rik	0	0	0	0
1700011M02Rik	0	0	0	0
1700012A03Rik	0	0	0	0
1700012B07Rik	0	0	0	0
1700012B09Rik	0	0	0	0
1700012D01Rik	0	13	2	27
1700012D14Rik	0	0	0	0
1700012I11Rik	0	0	0	0
1700012L04Rik	0	0	0	0
1700012P22Rik	0	0	0	0
1700013D24Rik	67	96	76	85
1700013F07Rik	0	0	0	0
1700013G24Rik	0	0	0	0
1700013H16Rik	58	60	36	33
1700015E13Rik	0	0	0	0
1700015F17Rik	0	0	0	0
1700015G11Rik	3	13	2	0
1700016C15Rik	0	0	0	0
1700016D06Rik	0	0	0	0
1700016G22Rik	0	0	0	0
1700016H13Rik	0	0	0	0
1700016K19Rik	0	0	0	7
1700016L04Rik	0	0	0	0
1700016L21Rik	0	0	0	0
1700016P04Rik	0	0	0	0
1700017B05Rik	153	196	155	73
1700017D01Rik	0	1	1	0
1700017G19Rik	0	0	1	0
1700017J07Rik	0	0	0	0
1700017N19Rik	0	0	0	0
1700018A04Rik	0	0	0	0
1700018B08Rik	0	0	0	0
1700018B24Rik	0	0	0	0
1700018C11Rik	0	0	0	0
1700018F24Rik	0	0	0	2
1700018G05Rik	6	0	0	0
1700018L02Rik	0	0	0	0
1700019A02Rik	0	0	0	0
1700019B03Rik	0	0	0	1
1700019B21Rik	0	0	0	0
1700019D03Rik	20	0	0	0
1700019E08Rik	0	0	0	0
1700019G17Rik	1077	1126	717	756
1700019G24Rik	0	0	0	0
1700019L03Rik	87	61	43	25
1700019M22Rik	0	0	0	0
1700019N19Rik	0	0	0	0
1700019O17Rik	0	0	0	0
1700020A23Rik	0	0	0	0
1700020D05Rik	0	0	0	8
1700020G17Rik	0	0	0	0
1700020I14Rik	14	43	12	0
1700020L24Rik	0	0	0	0
1700020M21Rik	0	0	1	0
1700020N01Rik	0	0	0	0
1700020N15Rik	0	1	0	0
1700020N18Rik	0	0	0	0
1700021F05Rik	0	0	0	0
1700021F07Rik	38	0	0	23
1700021K19Rik	407	523	91	104
1700021N21Rik	0	1	1	1
1700022A21Rik	0	0	0	0
1700022A22Rik	0	0	0	0
1700022E09Rik	0	0	0	0
1700022H16Rik	0	0	0	0
1700022I11Rik	30	32	9	9
1700023C21Rik	0	0	0	0
1700023E05Rik	17	15	27	5
1700023F02Rik	0	0	0	0
1700023F06Rik	330	238	65	21
1700023L04Rik	1	0	0	0
1700024B18Rik	0	0	0	0
1700024F13Rik	0	0	5	3
1700024G13Rik	0	0	0	0
1700024P04Rik	0	0	0	0
1700024P16Rik	0	0	0	0
1700025B11Rik	0	0	0	0
1700025C18Rik	0	0	0	0
1700025F22Rik	0	0	0	0
1700025F24Rik	0	0	0	0
1700025G04Rik	0	0	0	0
1700025K24Rik	0	0	0	0
1700025M24Rik	0	0	0	0
1700025N23Rik	113	56	37	22
1700026D08Rik	0	0	0	0
1700026D11Rik	0	11	0	0
1700026F02Rik	0	0	0	0
1700026L06Rik	8	2	3	1
1700027A15Rik	0	0	0	0
1700027F09Rik	0	0	0	0
1700027H10Rik	0	0	0	0
1700027I24Rik	0	0	0	0
1700027J07Rik	0	0	0	0
1700028B04Rik	0	1	1	0
1700028D13Rik	0	0	0	0
1700028E10Rik	361	523	758	706
1700028I16Rik	0	0	11	2
1700028J19Rik	0	0	0	0
1700028K03Rik	4	3	2	6
1700028M03Rik	0	0	0	0
1700028P14Rik	0	2	0	0
1700028P15Rik	0	0	0	0
1700029B22Rik	0	0	0	0
1700029F12Rik	0	0	0	0
1700029H14Rik	0	9	4	7
1700029I15Rik	0	0	0	1
1700029J03Rik	0	0	0	0
1700029J07Rik	0	0	0	0
1700029M20Rik	1	1	1	0
1700029N11Rik	0	0	0	0
1700029P11Rik	0	0	16	7
1700030A11Rik	0	0	1	0
1700030C10Rik	0	0	0	0
1700030F04Rik	0	0	0	0
1700030F18Rik	0	1	5	0
1700030J22Rik	14	23	15	10
1700030K09Rik	1	0	0	14
1700030L20Rik	0	0	1	0
1700030M09Rik	0	0	0	0
1700030N03Rik	0	0	0	0
1700030O20Rik	0	0	0	0
1700031A10Rik	0	0	0	0
1700031F05Rik	0	0	0	0
1700031M16Rik	10	21	8	8
1700031P21Rik	0	0	0	0
1700034E13Rik	4	0	0	0
1700034F02Rik	0	0	0	0
1700034G24Rik	0	0	0	0
1700034H15Rik	0	0	0	0
1700034I23Rik	0	0	0	0
1700034J05Rik	2	2	19	14
1700034K08Rik	0	0	0	0
1700034O15Rik	0	0	0	0
1700034P13Rik	0	0	0	1
1700036G14Rik	0	0	0	0
1700037C18Rik	78	99	49	68
1700037H04Rik	0	0	0	0
1700039E15Rik	0	0	0	0
1700039E22Rik	0	0	0	0
1700040L02Rik	0	0	0	0
1700041C23Rik	0	0	0	0
1700041M19Rik	0	0	0	0
1700042B14Rik	0	0	0	0
1700042G07Rik	0	0	0	0
1700042G15Rik	0	0	0	0
1700042O10Rik	0	0	0	0
1700044C05Rik	0	0	0	0
1700044K03Rik	0	0	0	0
1700045H11Rik	0	0	0	0
1700046C09Rik	0	0	0	0
1700047A11Rik	4	0	3	7
1700047E10Rik	0	0	0	0
1700047G03Rik	0	0	0	0
1700047I17Rik2	0	0	0	0
1700047L14Rik	0	0	0	0
1700047M11Rik	0	9	4	12
1700048M11Rik	0	0	0	0
1700048O20Rik	0	0	0	0
1700049E15Rik	0	0	0	0
1700049E22Rik	0	0	0	2
1700049G17Rik	0	1	0	0
1700049L16Rik	0	0	0	0
1700051A21Rik	0	0	0	0
1700052I22Rik	0	0	0	0
1700052K11Rik	0	0	0	0
1700052N19Rik	0	0	0	0
1700054A03Rik	71	73	174	135
1700054K19Rik	0	0	0	0
1700054M17Rik	0	1	0	1
1700054O13Rik	0	0	0	0
1700055C04Rik	0	1	6	5
1700055N04Rik	0	0	0	0
1700056E22Rik	0	0	0	0
1700057G04Rik	12	1	0	0
1700057H15Rik	0	0	0	0
1700060C16Rik	0	0	0	0
1700060C20Rik	0	0	0	0
1700061F12Rik	0	1	0	0
1700061G19Rik	0	0	0	0
1700061I17Rik	0	0	0	0
1700063A18Rik	0	0	0	0
1700063D05Rik	0	0	0	0
1700063O14Rik	0	0	0	0
1700064J06Rik	0	0	0	0
1700064M15Rik	0	0	0	0
1700065D16Rik	0	2	8	17
1700065I16Rik	3	1	5	7
1700065J11Rik	0	0	0	0
1700065J18Rik	0	0	0	12
1700065L07Rik	0	0	0	0
1700065O20Rik	0	0	0	0
1700066B17Rik	0	0	0	0
1700066B19Rik	0	0	44	0
1700066M21Rik	0	0	0	1
1700066N21Rik	0	0	0	0
1700066O22Rik	0	0	0	0
1700067G17Rik	0	0	0	0
1700067K01Rik	0	0	2	14
1700067P10Rik	0	0	0	0
1700069L16Rik	0	0	0	0
1700069P05Rik	0	0	0	0
1700071K01Rik	0	0	0	0
1700071M16Rik	0	0	0	0
1700072B07Rik	0	0	0	0
1700072O05Rik	0	0	0	0
1700073E17Rik	0	0	0	0
1700074H08Rik	0	0	0	0
1700074P13Rik	0	0	0	0
1700080E11Rik	0	0	0	1
1700080N15Rik	0	0	0	0
1700080O16Rik	0	0	0	0
1700081H04Rik	0	0	0	0
1700084C01Rik	0	0	0	0
1700084E18Rik	4	9	2	3
1700084F23Rik	0	0	0	0
1700084J12Rik	0	56	0	0
1700085C21Rik	0	0	0	0
1700086L19Rik	0	0	0	0
1700086O06Rik	1	0	0	0
1700088E04Rik	16	11	9	3
1700091H14Rik	0	0	0	0
1700092C02Rik	9	42	40	108
1700092C10Rik	0	0	0	0
1700092E19Rik	0	0	0	0
1700092K14Rik	0	0	0	0
1700092M07Rik	0	0	0	0
1700093K21Rik	0	0	0	4
1700094D03Rik	400	797	299	306
1700094J05Rik	0	14	5	0
1700094M24Rik	0	0	0	3
1700095A21Rik	0	0	0	0
1700095B10Rik	8	14	9	0
1700096J18Rik	3	0	2	0
1700096K18Rik	0	0	0	0
1700097N02Rik	0	0	0	0
1700100L14Rik	0	0	0	0
1700101E01Rik	39	10	113	27
1700101I11Rik	0	0	0	0
1700101O22Rik	0	0	0	0
1700102H20Rik	0	9	0	8
1700102P08Rik	144	175	32	15
1700104L18Rik	0	0	0	0
1700105P06Rik	0	0	0	0
1700106J16Rik	0	0	0	0
1700108F19Rik	0	0	0	0
1700108J01Rik	0	0	2	0
1700109G14Rik	0	0	0	0
1700109G15Rik	0	0	0	0
1700109H08Rik	74	51	3	7
1700109I08Rik	0	0	0	0
1700109K24Rik	0	0	0	0
1700110C19Rik	0	0	0	0
1700110I01Rik	0	0	0	0
1700110K17Rik	0	0	0	0
1700111N16Rik	0	0	0	0
1700112E06Rik	0	18	0	0
1700112H15Rik	0	0	0	0
1700112J05Rik	0	0	1	0
1700113A16Rik	0	0	0	1
1700113H08Rik	0	0	0	0
1700119H24Rik	0	0	0	0
1700120C14Rik	0	0	0	0
1700120E14Rik	0	0	0	0
1700120G07Rik	0	0	0	0
1700120K04Rik	0	0	0	0
1700121L16Rik	0	0	0	0
1700121N20Rik	0	0	0	0
1700122O11Rik	0	0	3	1
1700123I01Rik	0	2	0	0
1700123K08Rik	1	0	3	0
1700123L14Rik	0	0	0	0
1700123M08Rik	0	0	2	0
1700123O12Rik	0	0	0	0
1700123O20Rik	0	0	0	0
1700123O21Rik	0	0	0	0
1700124L16Rik	0	0	1	5
1700125G02Rik	0	0	0	0
1700125G22Rik	3	0	2	0
1700125H03Rik	0	0	0	0
1700125H20Rik	0	0	0	0
1700126H18Rik	0	0	0	0
1700128A07Rik	0	0	0	0
1700128F08Rik	0	0	0	0
1700129C05Rik	0	0	0	0
1810006J02Rik	0	0	0	0
1810007C17Rik	0	0	1	0
1810007D17Rik	0	0	0	0
1810008I18Rik	0	0	0	0
1810009A15Rik	0	0	0	0
1810009J06Rik	0	0	0	0
1810010D01Rik	0	0	0	0
1810010H24Rik	527	370	348	303
1810011H11Rik	0	0	0	0
1810011O10Rik	0	0	0	0
1810012K16Rik	0	0	0	0
1810013A23Rik	0	0	0	0
1810013L24Rik	1038	1552	453	826
1810014B01Rik	0	0	0	0
1810018F18Rik	0	1	0	0
1810019D21Rik	0	0	0	0
1810020O05Rik	0	0	0	0
1810021B22Rik	0	0	2	0
1810022K09Rik	2537	2097	2320	2903
1810024B03Rik	0	0	0	0
1810026B05Rik	0	0	0	0
1810026J23Rik	0	0	0	0
1810030O07Rik	0	0	0	3
1810032O08Rik	0	0	0	0
1810034E14Rik	0	2	106	91
1810037I17Rik	0	0	0	0
1810041L15Rik	6	21	11	18
1810043G02Rik	0	0	0	0
1810043H04Rik	0	0	0	0
1810044D09Rik	0	0	0	0
1810046K07Rik	0	0	0	0
1810053B23Rik	0	0	0	0
1810055G02Rik	483	0	220	112
1810058I24Rik	0	0	0	0
1810062G17Rik	0	0	0	0
1810062O18Rik	2	0	0	0
1810064F22Rik	1	0	0	0
1810065E05Rik	0	0	0	0
2010001E11Rik	0	0	0	0
2010002M12Rik	1	0	0	0
2010003K11Rik	0	0	0	0
2010005H15Rik	49	25	11	10
2010009K17Rik	0	0	0	0
2010010A06Rik	14	4	2	7
2010012O05Rik	0	0	0	1
2010015L04Rik	1	1	1	0
2010016I18Rik	0	0	0	0
2010106C02Rik	0	0	0	0
2010106E10Rik	0	0	0	0
2010107E04Rik	0	0	0	0
2010107G12Rik	3	0	0	1
2010107G23Rik	320	521	459	252
2010109A12Rik	0	0	0	0
2010109I03Rik	75	113	11	14
2010111I01Rik	50	32	24	23
2010204K13Rik	0	0	0	0
2010300C02Rik	0	1	0	0
2010308F09Rik	0	0	1	0
2010310C07Rik	0	0	0	3
2010315B03Rik	0	0	0	0
2010320M18Rik	0	0	0	0
2200002D01Rik	0	0	1	0
2200002J24Rik	0	55	0	1
2210010C04Rik	0	0	59	0
2210011C24Rik	0	0	0	0
2210013O21Rik	0	0	0	0
2210015D19Rik	0	0	0	0
2210016F16Rik	0	0	0	0
2210016L21Rik	0	2	0	0
2210018M11Rik	0	0	0	0
2210019I11Rik	0	0	0	0
2210039B01Rik	0	0	0	0
2210404O09Rik	0	0	0	0
2210407C18Rik	0	0	0	0
2210408F21Rik	0	0	0	0
2210408I21Rik	89	152	75	84
2210409D07Rik	0	0	0	0
2210409E12Rik	0	0	0	0
2210414B05Rik	0	0	0	10
2210416O15Rik	0	0	0	0
2210417A02Rik	0	0	0	0
2210420H20Rik	37	0	22	21
2300002M23Rik	1	0	25	7
2300003K06Rik	0	0	0	0
2300005B03Rik	0	0	0	0
2300009A05Rik	0	0	0	0
2310001H17Rik	0	0	20	1
2310001K24Rik	1	0	0	0
2310002D06Rik	0	0	0	0
2310002F09Rik	0	0	0	0
2310002J15Rik	0	0	0	0
2310002L09Rik	37	52	14	37
2310003H01Rik	4	5	1	37
2310005A03Rik	0	0	0	0
2310005E17Rik	0	0	0	0
2310005G13Rik	0	0	0	0
2310007B03Rik	4	56	47	52
2310007L24Rik	50	27	4	12
2310008N11Rik	0	0	3	2
2310009A05Rik	0	0	0	0
2310009B15Rik	0	0	0	0
2310010J17Rik	0	0	0	0
2310011J03Rik	0	0	0	6
2310014L17Rik	0	0	0	0
2310015A10Rik	0	7	0	0
2310015B20Rik	0	0	0	0
2310015D24Rik	0	0	0	0
2310016D03Rik	0	0	0	0
2310020H05Rik	504	444	552	649
2310022A10Rik	0	0	2	1
2310022B05Rik	0	0	0	0
2310030A07Rik	0	0	0	0
2310030G06Rik	2	6	4	37
2310033P09Rik	0	0	0	0
2310034C09Rik	0	0	0	1
2310034G01Rik	0	36	15	7
2310034O05Rik	0	0	0	0
2310035C23Rik	0	2	0	0
2310036O22Rik	0	0	0	0
2310039H08Rik	120	206	51	29
2310039L15Rik	0	0	0	0
2310040G24Rik	0	0	0	0
2310042E22Rik	0	0	0	0
2310043L19Rik	0	0	0	0
2310043O21Rik	0	0	0	0
2310045N01Rik	0	0	0	0
2310047M10Rik	0	0	0	0
2310050C09Rik	2	3	2	2
2310057J18Rik	0	0	0	0
2310057M21Rik	0	0	0	0
2310057N15Rik	0	0	0	0
2310061I04Rik	0	0	0	0
2310061J03Rik	107	249	139	132
2310061N02Rik	0	0	0	0
2310065F04Rik	0	0	0	0
2310067B10Rik	158	186	105	108
2310068J16Rik	21	85	49	79
2310069B03Rik	0	0	0	0
2310069G16Rik	0	0	0	0
2310079G19Rik	0	0	0	0
2310081J21Rik	0	0	0	0
2410002F23Rik	0	0	0	0
2410003L11Rik	12	19	6	11
2410004B18Rik	0	0	0	0
2410004I01Rik	0	0	0	0
2410004N09Rik	0	0	0	0
2410004P03Rik	4	0	5	5
2410006H16Rik	0	1	0	0
2410007B07Rik	0	0	0	0
2410012E07Rik	0	0	0	0
2410012M07Rik	0	0	0	0
2410015M20Rik	0	0	0	0
2410016O06Rik	0	0	0	0
2410017I17Rik	13	0	3	0
2410018L13Rik	1	0	3	0
2410021H03Rik	0	0	0	0
2410076I21Rik	0	0	0	0
2410088K16Rik	0	0	0	0
2410089E03Rik	233	170	172	223
2410114N07Rik	0	0	0	0
2410124H12Rik	0	0	0	0
2410127L17Rik	1356	1001	1348	1358
2410131K14Rik	0	0	0	0
2410137M14Rik	0	0	0	0
2410141K09Rik	0	0	0	0
2500004C02Rik	0	0	0	0
2510002D24Rik	1466	1634	1487	2057
2510003E04Rik	0	0	0	0
2510009E07Rik	77	187	4	101
2510039O18Rik	206	190	174	105
2510049J12Rik	617	537	769	272
2610001J05Rik	0	0	0	0
2610002J02Rik	0	0	0	0
2610002M06Rik	0	0	0	0
2610005L07Rik	0	0	0	0
2610008E11Rik	0	1	0	0
2610015P09Rik	137	72	131	158
2610016A17Rik	0	0	0	0
2610018G03Rik	0	0	0	0
2610020C07Rik	246	265	398	235
2610020H08Rik	0	0	0	0
2610027K06Rik	0	0	0	0
2610028E06Rik	0	0	0	0
2610028H24Rik	0	0	0	0
2610034B18Rik	0	0	0	0
2610034M16Rik	0	0	0	0
2610035D17Rik	0	0	0	0
2610035F20Rik	0	0	0	0
2610037D02Rik	25	40	28	0
2610044O15Rik8	0	0	0	0
2610100L16Rik	0	0	0	0
2610203C20Rik	0	0	1	0
2610203C22Rik	0	0	0	0
2610206C17Rik	0	0	0	0
2610207O16Rik	0	0	0	0
2610301B20Rik	0	0	1	0
2610305D13Rik	0	0	0	0
2610306M01Rik	0	0	0	0
2610307P16Rik	0	0	0	0
2610316D01Rik	0	0	0	0
2610318N02Rik	38	34	351	336
2610507B11Rik	35	38	15	11
2610507I01Rik	0	0	0	0
2610524H06Rik	0	0	0	0
2610528A11Rik	0	0	0	0
2610528J11Rik	0	0	0	0
2700029M09Rik	0	0	0	0
2700038G22Rik	0	0	0	0
2700046A07Rik	0	0	0	0
2700046G09Rik	0	0	0	0
2700049A03Rik	27	29	18	22
2700054A10Rik	0	0	0	0
2700060E02Rik	0	0	0	0
2700062C07Rik	0	0	0	0
2700069I18Rik	0	0	0	0
2700070H01Rik	0	0	0	0
2700081O15Rik	0	1	4	6
2700086A05Rik	0	0	0	0
2700089E24Rik	0	0	0	0
2700089I24Rik	0	0	0	0
2700094K13Rik	479	235	230	435
2700097O09Rik	0	0	0	0
2700099C18Rik	0	0	0	0
2810001G20Rik	0	0	0	0
2810002D19Rik	0	0	0	0
2810004N23Rik	39	12	19	45
2810006K23Rik	0	0	0	0
2810007J24Rik	0	0	0	1
2810008D09Rik	0	0	0	0
2810013P06Rik	0	0	0	0
2810021J22Rik	0	0	0	0
2810025M15Rik	0	0	0	0
2810029C07Rik	0	0	0	0
2810032G03Rik	0	0	0	0
2810047C21Rik1	0	0	0	0
2810049E08Rik	0	0	0	0
2810055G20Rik	0	0	0	0
2810403A07Rik	94	264	67	55
2810403D21Rik	0	0	0	0
2810404M03Rik	0	0	0	0
2810405F15Rik	0	0	0	0
2810408A11Rik	0	0	0	0
2810408I11Rik	0	0	0	0
2810408M09Rik	148	95	90	30
2810410L24Rik	0	0	0	0
2810417H13Rik	46	52	26	28
2810428I15Rik	0	0	0	0
2810429I04Rik	0	0	0	9
2810433D01Rik	0	0	0	0
2810442I21Rik	0	0	0	0
2810442N19Rik	2234	2188	1427	1779
2810454H06Rik	0	0	91	2
2810459M11Rik	0	0	0	0
2810468N07Rik	0	0	0	0
2810471M01Rik	0	0	0	0
2810474O19Rik	9	11	6	54
2900005J15Rik	0	1	0	0
2900008C10Rik	0	0	0	0
2900009J06Rik	0	0	0	0
2900011O08Rik	0	0	0	0
2900026A02Rik	0	0	0	0
2900041M22Rik	0	25	0	6
2900052N01Rik	0	0	0	0
2900055J20Rik	0	0	0	0
2900056M20Rik	0	3	0	0
2900057B20Rik	0	0	0	0
2900060B14Rik	0	0	0	0
2900076A07Rik	0	0	2	11
2900079G21Rik	0	0	0	0
2900092C05Rik	0	0	0	0
2900092D14Rik	0	0	0	0
2900097C17Rik	311	272	98	148
3000002C10Rik	0	0	0	0
3010001F23Rik	0	0	0	0
3010026O09Rik	1835	1893	1305	2774
3010033K07Rik	53	104	85	59
3100003L05Rik	0	0	0	0
3110001I22Rik	569	276	277	185
3110002H16Rik	0	0	0	4
3110007F17Rik	0	0	0	0
3110009E18Rik	0	0	0	0
3110009F21Rik	2	1	0	0
3110015C05Rik	0	0	0	0
3110021A11Rik	0	0	0	0
3110021N24Rik	70	42	62	39
3110035E14Rik	0	0	0	0
3110039I08Rik	0	0	0	0
3110039M20Rik	0	0	0	0
3110040N11Rik	0	0	0	0
3110043O21Rik	0	0	0	0
3110045C21Rik	0	0	0	0
3110052M02Rik	135	10	13	54
3110056K07Rik	0	0	0	0
3110057O12Rik	0	2	1	1
3110062M04Rik	0	0	0	0
3110070M22Rik	0	0	0	0
3110079O15Rik	6	0	5	3
3110082I17Rik	0	0	0	0
3110082J24Rik	0	0	0	0
3110099E03Rik	21	58	77	74
3200001D21Rik	0	1	0	0
3300002I08Rik	0	0	0	0
3300005D01Rik	29	0	0	15
3425401B19Rik	0	1	0	0
3632451O06Rik	0	0	27	0
3632454L22Rik	0	0	0	0
3830403N18Rik	1	0	0	0
3830406C13Rik	0	0	0	0
3830408C21Rik	0	0	0	0
3830417A13Rik	0	0	0	0
3930402G23Rik	0	0	0	0
4430402I18Rik	0	0	0	0
4631405J19Rik	3	7	18	29
4632415L05Rik	569	784	332	259
4632427E13Rik	2	0	0	0
4632428C04Rik	0	0	1	9
4632428N05Rik	0	0	0	0
4632434I11Rik	0	0	0	0
4732416N19Rik	0	0	0	0
4732456N10Rik	0	0	0	0
4732471J01Rik	9	5	22	9
4732490B19Rik	0	0	0	0
4732491K20Rik	0	0	0	0
4831440E17Rik	0	0	0	0
4833403I15Rik	998	876	778	397
4833411C07Rik	0	0	9	9
4833412C05Rik	0	0	0	0
4833417C18Rik	0	0	0	0
4833418N02Rik	56	125	13	22
4833419F23Rik	35	26	84	34
4833420G17Rik	0	0	0	0
4833422C13Rik	0	18	2	1
4833423E24Rik	0	0	0	0
4833424O15Rik	0	0	0	0
4833427F10Rik	0	0	0	0
4833427G06Rik	0	0	0	0
4833428L15Rik	0	0	0	0
4833439L19Rik	58	83	120	112
4921501E09Rik	403	248	124	189
4921504A21Rik	0	0	0	0
4921504E06Rik	0	0	1	0
4921506M07Rik	0	0	0	0
4921507L20Rik	0	0	0	0
4921507P07Rik	1	1	0	2
4921508D12Rik	0	0	0	0
4921509C19Rik	0	0	0	4
4921509O07Rik	6	90	12	15
4921511C10Rik	0	0	0	0
4921511C20Rik	0	0	0	0
4921511H03Rik	0	0	0	0
4921511I17Rik	0	0	0	0
4921511M17Rik	0	0	0	0
4921513I03Rik	0	0	0	0
4921515E04Rik	0	0	0	0
4921517D22Rik	54	47	88	56
4921524J17Rik	0	0	0	0
4921524L21Rik	0	0	0	0
4921525O09Rik	0	0	0	0
4921529L05Rik	39	0	23	66
4921530L21Rik	0	0	0	0
4921531C22Rik	0	0	1	1
4921531P14Rik	0	0	0	0
4921533I20Rik	0	0	0	0
4921534H16Rik	0	0	0	0
4921536K21Rik	7	0	0	0
4921539E11Rik	5	10	11	8
4922502D21Rik	0	0	0	0
4922502H24Rik	81	69	110	41
4922502N22Rik	0	0	0	0
4930401C15Rik	0	0	1	0
4930401O10Rik	0	0	0	0
4930401O12Rik	0	0	0	0
4930402F06Rik	0	0	0	0
4930402F11Rik	0	0	0	0
4930402H24Rik	67	50	60	27
4930402K13Rik	0	0	0	0
4930404A05Rik	0	0	0	0
4930404A10Rik	0	0	2	28
4930404H11Rik	0	0	0	0
4930404I05Rik	294	301	419	292
4930404N11Rik	0	0	3	0
4930405A10Rik	0	0	0	0
